champion_id,riot_id,alias,name_en,name_ko,title_en,title_ko,gender,species,region,attack_type,tag_1,tag_2,partype,hp_base,hp_max,mp_base,mp_max,movespeed,armor_base,armor_max,spellblock_base,spellblock_max,attackrange,hpregen_base,hpregen_max,mpregen_base,mpregen_max,crit_base,crit_max,attackdamage_base,attackdamage_max,attackspeed_base,attackspeed_max,image_path
25,25,Morgana,Morgana,모르가나,the Fallen,타락한 자,Female,Celestial,Demacia,ranged,Support,Mage,Mana,630,2398,340,1360,335,25,96.4,30,52.1,450,5.5,12.3,11,17.8,0,0,56,56,0.625,0.7876,25.png
26,26,Zilean,Zilean,질리언,the Chronokeeper,시간의 수호자,Male,Human,Icathia,ranged,Support,Mage,Mana,574,2206,452,1302,335,24,109,30,52.1,550,5.5,14.0,11.35,24.95,0,0,52,52,0.658,0.8963,26.png
27,27,Singed,Singed,신지드,the Mad Chemist,미친 화학자,Male,Human,Zaun,melee,Tank,Mage,Mana,650,2282,330,1095,345,34,105.4,32,66.85,125,9.5,18.85,7.5,16.85,0,0,63,63,0.7,0.9261,27.png
28,28,Evelynn,Evelynn,이블린,Agony's Embrace,고통스런 포옹,Female,Demon,Runeterra,melee,Assassin,Mage,Mana,642,2308,315,1029,335,37,116.9,32,66.85,125,8.5,21.25,8.11,18.31,0,0,61,61,0.667,0.9051,28.png
29,29,Twitch,Twitch,트위치,the Plague Rat,역병 쥐,Male,Rat / Mutant,Zaun,ranged,Marksman,Assassin,Mana,630,2296,300,980,330,27,95,30,52.1,550,3.75,13.95,7.25,19.15,0,0,59,59,0.679,1.0253,29.png
30,30,Karthus,Karthus,카서스,the Deathsinger,죽음을 노래하는 자,Male,Undead / Spirit,Shadow Isles,ranged,Mage,,Mana,620,2490,467,994,335,21,100.9,30,52.1,450,6.5,15.85,8,21.6,0,0,46,46,0.625,0.8492,30.png
31,31,Chogath,Cho'Gath,초가스,the Terror of the Void,공허의 공포,Male,VoidBorn,The Void,melee,Tank,Mage,Mana,644,2242,270,1290,345,38,114.5,32,66.85,125,9,23.45,7.2,14.85,0,0,69,69,0.658,0.8191,31.png
32,32,Amumu,Amumu,아무무,the Sad Mummy,슬픈 미라,Male,Yordle,Shurima,melee,Tank,Support,Mana,685,2283,285,965,335,33,101,32,66.85,125,9,23.45,7.4,16.75,0,0,57,57,0.736,1.0088,32.png
33,33,Rammus,Rammus,람머스,the Armordillo,중무장 아르마딜로,Male,Ascended,Shurima,melee,Tank,,Mana,645,2345,310,871,335,35,111.5,32,66.85,125,8,17.35,7.85,16.35,0,0,65,65,0.7,0.9636,33.png
34,34,Anivia,Anivia,애니비아,the Cryophoenix,얼음불사조,Female,Spirit / God,Freljord,ranged,Mage,,Mana,550,2114,495,1260,325,19,88.7,30,52.1,600,5.5,14.85,8,21.6,0,0,51,51,0.658,0.8459,34.png
35,35,Shaco,Shaco,샤코,the Demon Jester,악마 어릿광대,Male,Demon,Runeterra,melee,Assassin,,Mana,630,2313,297,977,345,30,98,32,66.85,125,8.5,17.85,6,11.95,0,0,63,63,0.694,1.0479,35.png
36,36,DrMundo,Dr. Mundo,문도 박사,the Madman of Zaun,자운의 광인,Male,Human,Zaun,melee,Tank,Fighter,None,640,2391,0,0,345,32,108.5,29,68.1,125,7,15.5,0,0,0,0,61,61,0.67,1.0459,36.png
37,37,Sona,Sona,소나,Maven of the Strings,현의 명인,Female,Human,Demacia,ranged,Support,Mage,Mana,550,2097,340,1105,325,26,97.4,30,52.1,550,5.5,14.85,11.5,18.3,0,0,49,49,0.644,0.8958,37.png
38,38,Kassadin,Kassadin,카사딘,the Void Walker,공허의 방랑자,Male,Human,The Void,melee,Assassin,Mage,Mana,646,2567,400,1879,335,21,89,30,52.1,150,6,14.5,6,19.6,0,0,59,59,0.64,1.0426,38.png
39,39,Irelia,Irelia,이렐리아,the Blade Dancer,칼날 무희,Female,Human,Ionia,melee,Fighter,Assassin,Mana,630,2585,350,1200,335,36,115.9,30,64.85,200,3.5,17.95,8,21.6,0,0,65,65,0.656,0.9348,39.png
40,40,Janna,Janna,잔나,the Storm's Fury,폭풍의 분노,Female,Spirit / God,Zaun,ranged,Support,Mage,Mana,570,2100,360,1210,325,28,104.5,30,52.1,550,5.5,14.85,11.5,18.3,0,0,47,47,0.625,0.9437,40.png
41,41,Gangplank,Gangplank,갱플랭크,the Saltwater Scourge,바다의 무법자,Male,Human,Bilgewater,melee,Fighter,,Mana,630,2568,280,1300,345,31,110.9,32,66.85,125,6,16.2,8,19.9,0,0,64,64,0.658,1.016,41.png
42,42,Corki,Corki,코르키,the Daring Bombardier,대담한 폭격수,Male,Yordle,Bandle City,ranged,Marksman,Mage,Mana,610,2310,350,1030,325,27,103.5,30,52.1,550,5.5,14.85,7.4,19.3,0,0,52,52,0.644,0.9505,42.png
43,43,Karma,Karma,카르마,the Enlightened One,깨우친 자,Female,Human,Ionia,ranged,Mage,Support,Mana,630,2483,374,1054,335,28,113,30,52.1,525,5.5,14.85,13,26.6,0,0,49,49,0.625,0.8694,43.png
44,44,Taric,Taric,타릭,the Shield of Valoran,발로란의 방패,Male,Human / Celestial,Targon,melee,Support,Tank,Mana,645,2328,300,1320,340,40,113.1,28,62.85,150,6,14.5,8.5,22.1,0,0,55,55,0.625,0.8375,44.png
45,45,Veigar,Veigar,베이가,the Tiny Master of Evil,악의 작은 지배자,Male,Yordle,Bandle City,ranged,Mage,,Mana,580,2416,490,932,340,18,106.4,32,54.1,550,6.5,16.7,8,21.6,0,0,52,52,0.625,0.863,45.png
46,48,Trundle,Trundle,트런들,the Troll King,트롤 왕,Male,Troll,Freljord,melee,Fighter,Tank,Mana,650,2520,340,1105,350,37,113.5,32,66.85,175,6,18.75,7.5,17.7,0,0,68,68,0.67,1.0003,48.png
47,50,Swain,Swain,스웨인,the Noxian Grand General,녹서스 대장군,Male,Human,Noxus,ranged,Mage,Support,Mana,595,2278,400,893,330,25,104.9,31,57.35,525,3,11.5,10,23.6,0,0,58,58,0.625,0.8492,50.png
48,51,Caitlyn,Caitlyn,케이틀린,the Sheriff of Piltover,필트오버의 보안관,Female,Human,Piltover,ranged,Marksman,,Mana,580,2399,315,995,325,27,106.9,30,52.1,650,3.5,12.85,7.4,19.3,0,0,62,62,0.681,1.1441,51.png
49,53,Blitzcrank,Blitzcrank,블리츠크랭크,the Great Steam Golem,거대 증기 골렘,Other,Cyborg / Mech,Zaun,melee,Tank,Support,Mana,600,2453,267,947,325,37,116.9,32,66.85,125,7.5,20.25,8.5,22.1,0,0,62,62,0.625,0.7451,53.png
50,54,Malphite,Malphite,말파이트,Shard of the Monolith,거석의 파편,Male,Construct / Golem,Ixtal,melee,Tank,Mage,Mana,665,2433,280,1300,335,40,124.15,28,62.85,125,7,16.35,7.3,16.65,0,0,62,62,0.736,1.1614,54.png
51,55,Katarina,Katarina,카타리나,the Sinister Blade,사악한 칼날,Female,Human,Noxus,melee,Assassin,Mage,None,672,2508,0,0,335,32,111.9,32,66.85,125,7.5,19.4,0,0,0,0,58,58,0.658,0.9645,55.png
52,56,Nocturne,Nocturne,녹턴,the Eternal Nightmare,영원한 악몽,Male,Demon,Runeterra,melee,Fighter,Assassin,Mana,655,2508,275,870,345,38,109.4,32,58.35,125,7,19.75,7,14.65,0,0,62,62,0.721,1.0519,56.png
53,57,Maokai,Maokai,마오카이,the Twisted Treant,뒤틀린 나무 정령,Male,Spirit / Tree,Shadow Isles,melee,Tank,Support,Mana,665,2518,375,1106,335,35,123.4,32,66.85,125,5,17.75,6,16.2,0,0,64,64,0.8,1.089,57.png
54,58,Renekton,Renekton,레넥톤,the Butcher of the Sands,사막의 도살자,Male,God-Warrior / Ascended,Shurima,melee,Fighter,Tank,Fury,660,2547,100,100,345,35,123.4,28,62.85,125,8,20.75,0,0,0,0,69,69,0.665,0.9759,58.png
55,59,JarvanIV,Jarvan IV,자르반 4세,the Exemplar of Demacia,데마시아의 귀감,Male,Human,Demacia,melee,Fighter,Tank,Mana,640,2408,300,1235,340,36,114.2,32,66.85,175,8,19.9,6.5,14.15,0,0,64,64,0.658,0.9377,59.png
56,60,Elise,Elise,엘리스,the Spider Queen,거미 여왕,Female,Human / Spider,Noxus,ranged,Assassin,Mage,Mana,620,2473,324,1174,330,30,106.5,30,52.1,550,5.5,15.7,6,19.6,0,0,55,55,0.625,0.8109,60.png
57,61,Orianna,Orianna,오리아나,the Lady of Clockwork,시계태엽 소녀,Female,Cyborg / Mech,Piltover,ranged,Mage,Support,Mana,565,2435,418,843,325,20,91.4,26,48.1,525,7,16.35,8,21.6,0,0,44,44,0.658,1.0495,61.png
58,62,MonkeyKing,Wukong,오공,the Monkey King,원숭이 왕,Male,Vastaya,Ionia,melee,Fighter,Tank,Mana,610,2293,330,1435,340,31,110.9,28,62.85,175,3.5,14.55,8,21.6,0,0,66,66,0.69,1.0419,62.png
59,63,Brand,Brand,브랜드,the Burning Vengeance,타오르는 복수,Male,Human / Elemental,Freljord,ranged,Mage,Support,Mana,570,2355,469,826,340,24,95.4,30,52.1,550,5.5,14.85,11,21.2,0,0,57,57,0.681,0.9125,63.png
60,64,LeeSin,Lee Sin,리 신,the Blind Monk,눈먼 수도승,Male,Human,Ionia,melee,Fighter,Assassin,Energy,645,2481,200,200,345,36,112.5,32,66.85,125,7.5,19.4,50,50,0,0,66,66,0.651,0.983,64.png
61,67,Vayne,Vayne,베인,the Night Hunter,어둠 사냥꾼,Female,Human,Demacia,ranged,Marksman,Assassin,Mana,550,2301,232,827,330,23,101.2,30,52.1,550,3.5,12.85,7,13.8,0,0,60,60,0.658,1.0271,67.png
62,68,Rumble,Rumble,럼블,the Mechanized Menace,기계 악동,Male,Yordle,Bandle City,melee,Fighter,Mage,Heat,640,2425,150,150,345,36,115.9,28,54.35,125,7,17.2,0,0,0,0,64,64,0.644,0.8465,68.png
63,69,Cassiopeia,Cassiopeia,카시오페아,the Serpent's Embrace,독사의 포옹,Female,Human / Serpent,Noxus,ranged,Mage,,Mana,630,2296,480,1160,335,18,97.9,32,54.1,550,5.5,14.0,8,21.6,0,0,53,53,0.647,0.812,69.png
64,72,Skarner,Skarner,스카너,the Primordial Sovereign,태고의 군주,Male,Brackern / Elemental,Ixtal,melee,Tank,Fighter,Mana,630,2500,320,1000,335,33,109.5,32,66.85,150,7.5,20.25,7.2,19.95,0,0,63,63,0.625,0.8375,72.png
65,74,Heimerdinger,Heimerdinger,하이머딩거,the Revered Inventor,위대한 발명가,Male,Yordle,Piltover,ranged,Mage,Support,Mana,558,2343,385,725,340,19,90.4,30,52.1,550,7,16.35,8,21.6,0,0,56,56,0.658,0.8101,74.png
66,75,Nasus,Nasus,나서스,the Curator of the Sands,사막의 관리자,Male,God-Warrior / Ascended,Shurima,melee,Fighter,Tank,Mana,650,2418,326,1380,350,34,113.9,32,66.85,125,9,24.3,7.45,15.95,0,0,67,67,0.638,1.0154,75.png
67,76,Nidalee,Nidalee,니달리,the Bestial Huntress,야성의 사냥꾼,Female,Human,Ixtal,ranged,Assassin,Mage,Mana,610,2463,295,1060,335,32,117,30,54.65,525,6,16.2,6,19.6,0,0,58,58,0.638,0.9872,76.png
68,77,Udyr,Udyr,우디르,the Spirit Walker,정령 주술사,Male,Human,Freljord,melee,Fighter,Tank,Mana,664,2228,271,1121,350,31,110.9,32,66.85,125,6,18.75,7.5,15.15,0,0,62,62,0.65,0.9815,77.png
69,78,Poppy,Poppy,뽀삐,Keeper of the Hammer,망치의 수호자,Female,Yordle,Demacia,melee,Tank,Fighter,Mana,610,2480,280,960,345,35,120,32,66.85,125,8,21.6,7,18.9,0,0,60,60,0.658,0.9377,78.png
70,79,Gragas,Gragas,그라가스,the Rabble Rouser,술취한 난동꾼,Male,Human,Freljord,melee,Fighter,Mage,Mana,640,2595,400,1199,330,38,123,32,66.85,125,5.5,14.0,6,19.6,0,0,64,64,0.675,0.9102,79.png
71,80,Pantheon,Pantheon,판테온,the Unbreakable Spear,불굴의 창,Male,Human / Celestial,Targon,melee,Fighter,Assassin,Mana,650,2503,317,844,345,40,124.15,28,62.85,175,6,17.05,7.35,15.0,0,0,64,64,0.658,0.988,80.png
72,81,Ezreal,Ezreal,이즈리얼,the Prodigal Explorer,무모한 탐험가,Male,Human,Piltover,ranged,Marksman,Mage,Mana,600,2334,375,1565,325,24,95.4,30,52.1,550,4,15.05,8.5,25.5,0,0,60,60,0.625,0.8906,81.png
73,82,Mordekaiser,Mordekaiser,모데카이저,the Iron Revenant,강철의 망령,Male,Undead / Spirit,Noxus,melee,Fighter,Mage,Shield,645,2413,100,100,335,37,108.4,32,66.85,175,5,17.75,0,0,0,0,61,61,0.625,0.7312,82.png
74,83,Yorick,Yorick,요릭,Shepherd of Souls,영혼의 길잡이,Male,Human,Shadow Isles,melee,Fighter,Tank,Mana,650,2588,300,1320,340,36,112.5,32,66.85,175,8,21.6,7.5,20.25,0,0,62,62,0.625,0.8375,83.png
75,84,Akali,Akali,아칼리,the Rogue Assassin,섬기는 이 없는 암살자,Female,Human,Ionia,melee,Assassin,,Energy,600,2623,200,200,345,23,102.9,37,71.85,125,9,24.3,50,50,0,0,62,62,0.625,0.965,84.png
76,85,Kennen,Kennen,케넨,the Heart of the Tempest,폭풍의 심장,Male,Yordle,Ionia,ranged,Mage,,Energy,580,2246,200,200,335,29,113.15,30,52.1,550,5.5,16.55,50,50,0,0,48,48,0.625,0.9862,85.png
77,86,Garen,Garen,가렌,The Might of Demacia,데마시아의 힘,Male,Human,Demacia,melee,Fighter,Tank,None,690,2356,0,0,340,38,109.4,32,58.35,175,8,16.5,0,0,0,0,69,69,0.625,1.0128,86.png
78,89,Leona,Leona,레오나,the Radiant Dawn,여명의 빛,Female,Human,Targon,melee,Tank,Support,Mana,646,2363,302,982,335,43,124.6,32,66.85,125,8.5,22.95,6,19.6,0,0,60,60,0.625,0.9331,89.png
79,90,Malzahar,Malzahar,말자하,the Prophet of the Void,공허의 예언자,Male,Human,The Void,ranged,Mage,,Mana,580,2297,375,851,335,18,97.9,30,52.1,500,6,16.2,8,21.6,0,0,55,55,0.625,0.7844,90.png
80,91,Talon,Talon,탈론,the Blade's Shadow,검의 그림자,Male,Human,Noxus,melee,Assassin,,Mana,658,2511,400,1029,335,30,109.9,36,70.85,125,8.5,21.25,7.6,21.2,0,0,68,68,0.625,0.9331,91.png
81,92,Riven,Riven,리븐,the Exile,추방자,Female,Human,Noxus,melee,Fighter,Assassin,None,630,2330,0,0,340,33,107.8,32,66.85,125,8.5,17.0,0,0,0,0,64,64,0.625,0.9969,92.png
82,96,KogMaw,Kog'Maw,코그모,the Mouth of the Abyss,심연의 아귀,Male,VoidBorn,The Void,ranged,Marksman,Mage,Mana,635,2318,325,1005,330,24,99.65,30,52.1,500,3.75,13.1,8.75,20.65,0,0,61,61,0.665,0.9646,96.png
83,98,Shen,Shen,쉔,the Eye of Twilight,황혼의 눈,Male,Human,Ionia,melee,Tank,,Energy,610,2293,400,400,340,34,105.4,32,66.85,125,8.5,21.25,50,50,0,0,64,64,0.751,1.134,98.png
84,99,Lux,Lux,럭스,the Lady of Luminosity,광명의 소녀,Female,Human,Demacia,ranged,Mage,Support,Mana,580,2263,440,839.5,330,21,109.4,30,52.1,550,5.5,14.85,9,22.6,0,0,54,54,0.669,1.0102,99.png
85,101,Xerath,Xerath,제라스,the Magus Ascendant,초월한 마법사,Male,God-Warrior / Ascended,Shurima,ranged,Mage,Support,Mana,596,2398,400,774,340,22,101.9,30,52.1,525,5.5,14.85,6.85,20.45,0,0,55,55,0.658,0.8101,101.png
86,102,Shyvana,Shyvana,쉬바나,the Half-Dragon,하프 드래곤,Female,Dragon,Demacia,melee,Fighter,Tank,Fury,625,2240,100,100,350,35,103,32,66.85,150,7,18.05,0,0,0,0,62,62,0.638,0.8549,102.png
87,103,Ahri,Ahri,아리,the Nine-Tailed Fox,구미호,Female,Vastaya,Ionia,ranged,Mage,Assassin,Mana,590,2358,418,843,330,21,92.4,30,52.1,550,2.5,12.7,8,21.6,0,0,53,53,0.668,0.9178,103.png
88,104,Graves,Graves,그레이브즈,the Outlaw,무법자,Male,Human,Bilgewater,ranged,Marksman,,Mana,625,2427,325,1005,340,33,111.2,30,52.1,425,8,19.9,8,19.9,0,0,66,66,0.475,0.7172,104.png
89,105,Fizz,Fizz,피즈,the Tidal Trickster,대양의 말썽꾸러기,Male,Yordle,Bilgewater,melee,Assassin,Fighter,Mana,640,2442,317,1201,335,26,104.2,32,66.85,175,8,19.9,6,19.6,0,0,58,58,0.658,1.0048,105.png
90,106,Volibear,Volibear,볼리베어,the Relentless Storm,무자비한 폭풍,Male,Spirit / God,Freljord,melee,Fighter,Tank,Mana,650,2418,350,1540,340,35,123.4,32,66.85,150,9,21.75,6.25,14.75,0,0,65,65,0.625,0.8375,106.png
91,107,Rengar,Rengar,렝가,the Pridestalker,추적하는 사자,Male,Vastaya,Ixtal,melee,Assassin,Fighter,Ferocity,590,2358,4,4,345,34,105.4,32,66.85,125,6,14.5,0,0,0,0,68,68,0.667,1.0072,107.png
92,110,Varus,Varus,바루스,the Arrow of Retribution,응징의 화살,Male,Darkin,Ionia,ranged,Marksman,Mage,Mana,600,2385,320,1000,330,24,92,30,52.1,575,3.5,12.85,8,21.6,0,0,59,59,0.658,1.0495,110.png
93,111,Nautilus,Nautilus,노틸러스,the Titan of the Depths,심해의 타이탄,Male,Undead / Cyborg,Bilgewater,melee,Tank,Support,Mana,646,2346,400,1199,325,39,123.15,32,66.85,175,8.5,17.85,8.65,17.15,0,0,61,61,0.706,0.826,111.png
94,112,Viktor,Viktor,빅토르,the Herald of the Arcane,아케인의 전령관,Male,Cyborg / Mech,Zaun,ranged,Mage,,Mana,600,2300,405,1170,335,23,97.8,30,52.1,525,8,19.05,8,21.6,0,0,53,53,0.658,0.894,112.png
95,113,Sejuani,Sejuani,세주아니,Fury of the North,혹한의 분노,Female,Human,Freljord,melee,Tank,,Mana,630,2568,400,1080,340,34,126.65,32,66.85,150,8.5,25.5,7,18.9,0,0,66,66,0.688,1.0974,113.png
96,114,Fiora,Fiora,피오라,the Grand Duelist,결투의 대가,Female,Human,Demacia,melee,Fighter,Assassin,Mana,620,2303,300,1320,345,33,112.9,32,66.85,150,8.5,17.85,8,19.9,0,0,66,66,0.69,1.0654,114.png
97,115,Ziggs,Ziggs,직스,the Hexplosives Expert,마법공학 폭파병,Male,Yordle,Zaun,ranged,Mage,,Mana,606,2408,480,879.5,325,21,100.9,30,52.1,550,6.5,16.7,8,21.6,0,0,55,55,0.656,0.879,115.png
98,117,Lulu,Lulu,룰루,the Fae Sorceress,요정 마법사,Female,Yordle,Bandle City,ranged,Support,Mage,Mana,565,2129,350,1285,330,26,104.2,30,52.1,550,6,16.2,11,21.2,0,0,47,47,0.625,0.8641,117.png
99,119,Draven,Draven,드레이븐,the Glorious Executioner,화려한 처형자,Male,Human,Noxus,ranged,Marksman,,Mana,675,2443,361,1024,330,29,105.5,30,52.1,550,3.75,15.65,8.05,19.1,0,0,62,62,0.679,0.9907,119.png
100,120,Hecarim,Hecarim,헤카림,the Shadow of War,전쟁의 전조,Male,Undead / Spirit,Shadow Isles,melee,Fighter,Tank,Mana,625,2427,280,960,345,32,124.65,32,66.85,175,7,19.75,7,20.6,0,0,66,66,0.67,0.9548,120.png
101,121,Khazix,Kha'Zix,카직스,the Voidreaver,공허의 약탈자,Male,VoidBorn,The Void,melee,Assassin,,Mana,643,2326,327,1007,345,32,103.4,32,66.85,125,7.5,20.25,7.59,16.09,0,0,60,60,0.668,0.9746,121.png
102,122,Darius,Darius,다리우스,the Hand of Noxus,녹서스의 실력자,Male,Human,Noxus,melee,Fighter,Tank,Mana,652,2590,263,1249,340,37,125.4,32,66.85,175,10,26.15,6.6,12.55,0,0,64,64,0.625,0.7312,122.png
103,126,Jayce,Jayce,제이스,the Defender of Tomorrow,미래의 수호자,Male,Human,Piltover,ranged,Fighter,Marksman,Mana,590,2443,375,1140,335,22,107,30,52.1,125,6,16.2,6,19.6,0,0,59,59,0.658,0.9936,126.png
104,127,Lissandra,Lissandra,리산드라,the Ice Witch,얼음 마녀,Female,Human,Freljord,ranged,Mage,,Mana,620,2490,475,985,325,22,93.4,30,52.1,550,7,16.35,8,14.8,0,0,55,55,0.656,0.8233,127.png
105,131,Diana,Diana,다이애나,Scorn of the Moon,차가운 달의 분노,Female,Human,Targon,melee,Fighter,Assassin,Mana,640,2493,375,800,345,31,104.1,32,66.85,150,6.5,20.95,8,21.6,0,0,57,57,0.625,0.8375,131.png
106,133,Quinn,Quinn,퀸,Demacia's Wings,데마시아의 날개,Female,Human,Demacia,ranged,Marksman,Assassin,Mana,565,2384,269,864,330,28,107.9,30,52.1,525,5.5,14.85,7,13.8,0,0,59,59,0.668,1.02,133.png
107,134,Syndra,Syndra,신드라,the Dark Sovereign,어둠의 여제,Female,Human,Ionia,ranged,Mage,,Mana,583,2283,480,1160,330,25,93,30,52.1,550,6.5,16.7,8,21.6,0,0,54,54,0.658,0.8817,134.png
108,136,AurelionSol,Aurelion Sol,아우렐리온 솔,The Star Forger,별의 창조자,Male,Dragon,Targon,ranged,Mage,,Mana,600,2130,530,1210,340,22,90,30,52.1,550,5.5,14.85,8,20.75,0,0,58,58,0.625,0.7844,136.png
